Date,Open,High,Low,Close,Adj Close,Volume
20-09-2022,142.399994,143.350006,141.300003,141.600006,137.502136,715929
21-09-2022,141.399994,143.199997,140.050003,141.300003,137.210815,894889
22-09-2022,139.899994,141.699997,135.800003,138.399994,134.39473,1485747
23-09-2022,138.5,138.949997,131.649994,132.399994,128.568375,1426120
26-09-2022,129.600006,130.300003,124.5,128.100006,124.39283,1331032
27-09-2022,129.649994,131.399994,126.550003,127.550003,123.858742,1188808
28-09-2022,126.199997,128.25,124,126.349998,122.693466,990378
29-09-2022,128.350006,130.25,125.150002,127.449997,123.761627,977105
30-09-2022,127.099998,133.699997,126.349998,132.399994,128.568375,2505734
03-10-2022,131.399994,133.699997,126.900002,128,124.295715,1625487
04-10-2022,131,134.199997,130.649994,133.899994,130.024963,2262992
06-10-2022,134.100006,135.899994,134.100006,134.899994,130.996033,1008253
07-10-2022,134.149994,135.550003,130.5,135.25,131.335907,2033906
10-10-2022,131.75,134.449997,131.649994,132.100006,128.277069,2367981
11-10-2022,132.699997,133.050003,129.149994,129.699997,125.946518,663661
12-10-2022,130.050003,133.300003,129.5,132.949997,129.102463,1036500
13-10-2022,131.800003,132.75,129.199997,129.949997,126.189278,842972
14-10-2022,132.5,134.199997,130.050003,130.449997,126.674812,962020
17-10-2022,130.100006,136.949997,129.649994,136.199997,132.258408,3207535
18-10-2022,137.100006,141.75,136.699997,140.699997,136.628174,3438596
19-10-2022,140.649994,141.149994,137.149994,137.800003,133.812103,1618243
20-10-2022,136.600006,141.800003,135.699997,140.800003,136.725296,2254024
21-10-2022,140.699997,144.899994,140.600006,143.550003,139.395706,2305723
24-10-2022,144.850006,145.350006,143.949997,144.350006,140.172562,301505
25-10-2022,143.350006,151.649994,142.449997,148.399994,144.105331,1883873
27-10-2022,148.399994,150.300003,147.350006,149.699997,145.367722,1320236
28-10-2022,149.699997,151.199997,146.149994,146.850006,142.600204,1098185
31-10-2022,147.699997,148.600006,145.050003,147.75,143.474152,1098885
01-11-2022,148.050003,151.75,146.649994,147.649994,143.377045,1420053
02-11-2022,147,148.600006,146.050003,147,142.745865,743139
